,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,(24.0000|-561.0000),(942.0000|10637.0000),(125.0000|18754.0000),(1214.0000|73247.0000),(884.0000|7277.0000),(15.0000|1943.0000),(261.0000|35463.0000),(34.0000|4026.0000),(854.0000|8333.0000),(758.0000|10375.0000),(1092.0000|14571.0000),(811.0000|99244.0000),(844.0000|4775.0000),(52.0000|75.0000),(374.0000|21750.0000),(50.0000|17573.0000),(717.0000|93452.0000),(348.0000|-2840.0000),(25.0000|530.0000),(715.0000|11760.0000)
840.0000,10475.004883,21840.867188,17459.533203,26825.093750,20999.496094,11631.542969,17888.998047,6995.558105,19204.185547,17049.960938,21868.716797,26854.355469,18986.257812,13433.865234,16875.798828,23469.687500,23776.300781,17243.490234,18605.470703,17153.437500
870.0000,11063.840820,22471.812500,18138.474609,27432.431641,21638.285156,12259.941406,18645.298828,7610.133789,20019.570312,17643.408203,22533.445312,27511.125000,19599.156250,14012.784180,17654.267578,24144.058594,24521.439453,17837.058594,19202.417969,17797.419922
900.0000,11651.636719,23099.789062,18814.773438,28037.054688,22274.210938,12887.015625,19398.753906,8224.576172,20831.865234,18234.873047,23195.062500,28164.324219,20209.775391,14590.212891,18430.439453,24814.960938,25262.458984,18428.673828,19797.099609,18439.095703
930.0000,12238.292969,23724.765625,19488.296875,28638.992188,22907.218750,13512.626953,20149.152344,8838.730469,21640.824219,18824.312500,23853.492188,28813.957031,20818.066406,15166.091797,19204.072266,25482.332031,25999.248047,19018.292969,20389.492188,19078.371094
960.0000,12823.711914,24346.703125,20158.923828,29238.265625,23537.273438,14136.643555,20896.304688,9452.441406,22446.212891,19411.681641,24508.689453,29460.007812,21423.990234,15740.362305,19974.931641,26146.111328,26731.697266,19605.878906,20979.568359,19715.152344
990.0000,13407.797852,24965.591797,20826.550781,29834.906250,24164.332031,14758.943359,21640.033203,10065.557617,23247.820312,19996.957031,25160.599609,30102.488281,22027.519531,16312.974609,20742.792969,26806.265625,27459.710938,20191.406250,21567.314453,20349.357422
1020.0000,13990.476562,25581.417969,21491.072266,30428.949219,24788.375000,15379.409180,22380.171875,10677.933594,24045.445312,20580.109375,25809.183594,30741.404297,22628.628906,16883.886719,21507.458984,27462.753906,28183.208984,20774.851562,22152.718750,20980.916016
1050.0000,14571.668945,26194.175781,22152.408203,31020.433594,25409.380859,15997.936523,23116.570312,11289.435547,24838.900391,21161.117188,26454.414062,31376.777344,23227.300781,17453.060547,22268.722656,28115.558594,28902.130859,21356.197266,22735.785156,21609.769531
1080.0000,15151.305664,26803.873047,22810.476562,31609.402344,26027.343750,16614.423828,23849.091797,11899.923828,25628.023438,21739.976562,27096.273438,32008.628906,23823.531250,18020.470703,23026.416016,28764.660156,29616.412109,21935.433594,23316.519531,22235.863281
1110.0000,15729.329102,27410.515625,23465.214844,32195.902344,26642.261719,17228.785156,24577.609375,12509.272461,26412.650391,22316.679688,27734.753906,32636.992188,24417.316406,18586.093750,23780.363281,29410.054688,30326.015625,22512.566406,23894.925781,22859.152344
1140.0000,16305.681641,28014.128906,24116.568359,32779.976562,27254.140625,17840.941406,25302.011719,13117.357422,27192.636719,22891.230469,28369.841797,33261.902344,25008.656250,19149.914062,24530.406250,30051.744141,31030.898438,23087.593750,24471.027344,23479.605469
1170.0000,16880.318359,28614.730469,24764.492188,33361.687500,27862.994141,18450.818359,26022.195312,13724.070312,27967.861328,23463.636719,29001.546875,33883.410156,25597.566406,19711.919922,25276.417969,30689.742188,31731.046875,23660.523438,25044.841797,24097.195312
1200.0000,17453.199219,29212.343750,25408.949219,33941.078125,28468.839844,19058.355469,26738.082031,14329.303711,28738.210938,24033.910156,29629.890625,34501.550781,26184.062500,20272.109375,26018.265625,31324.062500,32426.441406,24231.371094,25616.402344,24711.902344
1230.0000,18024.291016,29807.019531,26049.917969,34518.207031,29071.703125,19663.500000,27449.595703,14932.958008,29503.572266,24602.066406,30254.875000,35116.382812,26768.158203,20830.486328,26755.832031,31954.730469,33117.082031,24800.150391,26185.732422,25323.716797
1260.0000,18593.572266,30398.787109,26687.378906,35093.125000,29671.613281,20266.212891,28156.666016,15534.944336,30263.875000,25168.132812,30876.539062,35727.964844,27349.890625,21387.056641,27489.015625,32581.777344,33802.980469,25366.894531,26752.871094,25932.644531
1290.0000,19161.019531,30987.691406,27321.332031,35665.902344,30268.605469,20866.449219,28859.257812,16135.173828,31019.027344,25732.132812,31494.910156,36336.347656,27929.281250,21941.828125,28217.734375,33205.246094,34484.132812,25931.625000,27317.859375,26538.675781
1320.0000,19726.623047,31573.781250,27951.765625,36236.582031,30862.726562,21464.183594,29557.316406,16733.578125,31768.980469,26294.101562,32110.019531,36941.589844,28506.363281,22494.824219,28941.910156,33825.167969,35160.578125,26494.373047,27880.734375,27141.828125
1350.0000,20290.375000,32157.109375,28578.701172,36805.230469,31454.019531,22059.400391,30250.826172,17330.085938,32513.679688,26854.068359,32721.917969,37543.765625,29081.189453,23046.062500,29661.476562,34441.597656,35832.343750,27055.179688,28441.546875,27742.125000
1380.0000,20852.275391,32737.734375,29202.144531,37371.917969,32042.523438,22652.078125,30939.757812,17924.642578,33253.078125,27412.068359,33330.648438,38142.941406,29653.779297,23595.570312,30376.382812,35054.585938,36499.464844,27614.074219,29000.343750,28339.578125
1410.0000,21412.328125,33315.707031,29822.126953,37936.679688,32628.304688,23242.218750,31624.109375,18517.191406,33987.152344,27968.156250,33936.257812,38739.179688,30224.191406,24143.378906,31086.585938,35664.191406,37161.992188,28171.097656,29557.167969,28934.228516
1440.0000,21970.542969,33891.093750,30438.673828,38499.593750,33211.406250,23829.820312,32303.886719,19107.695312,34715.886719,28522.363281,34538.800781,39332.562500,30792.464844,24689.515625,31792.062500,36270.476562,37819.964844,28726.300781,30112.078125,29526.101562
1470.0000,22526.935547,34463.957031,31051.816406,39060.710938,33791.886719,24414.894531,32979.093750,19696.109375,35439.269531,29074.740234,35138.339844,39923.148438,31358.660156,25234.013672,32492.785156,36873.503906,38473.453125,29279.718750,30665.117188,30115.242188
1500.0000,23081.527344,35034.347656,31661.605469,39620.089844,34369.812500,24997.449219,33649.742188,20282.416016,36157.308594,29625.333984,35734.929688,40511.015625,31922.808594,25776.917969,33188.750000,37473.339844,39122.503906,29831.406250,31216.351562,30701.679688
1530.0000,23634.339844,35602.351562,32268.082031,40177.785156,34945.242188,25577.509766,34315.875000,20866.587891,36870.000000,30174.191406,36328.636719,41096.234375,32484.976562,26318.265625,33879.957031,38070.050781,39767.207031,30381.400391,31765.832031,31285.480469
1560.0000,24185.398438,36168.023438,32871.292969,40733.867188,35518.238281,26155.099609,34977.511719,21448.613281,37577.375000,30721.361328,36919.523438,41678.882812,33045.214844,26858.095703,34566.414062,38663.710938,40407.609375,30929.757812,32313.613281,31866.675781
1590.0000,24734.736328,36731.433594,33471.296875,41288.375000,36088.859375,26730.246094,35634.699219,22028.478516,38279.453125,31266.894531,37507.656250,42259.039062,33603.570312,27396.451172,35248.132812,39254.394531,41043.792969,31476.527344,32859.746094,32445.332031
1620.0000,25282.392578,37292.648438,34068.160156,41841.378906,36657.183594,27302.988281,36287.484375,22606.193359,38976.277344,31810.847656,38093.117188,42836.769531,34160.109375,27933.386719,35925.140625,39842.179688,41675.847656,32021.761719,33404.296875,33021.492188
1650.0000,25828.394531,37851.734375,34661.929688,42392.914062,37223.265625,27873.359375,36935.921875,23181.753906,39667.878906,32353.273438,38675.953125,43412.140625,34714.875000,28468.933594,36597.476562,40427.136719,42303.847656,32565.503906,33947.312500,33595.222656
1680.0000,26372.783203,38408.769531,35252.675781,42943.058594,37787.175781,28441.404297,37580.066406,23755.173828,40354.316406,32894.214844,39256.250000,43985.246094,35267.929688,29003.144531,37265.183594,41009.343750,42927.875000,33107.804688,34488.855469,34166.582031
1710.0000,26915.605469,38963.816406,35840.468750,43491.843750,38348.984375,29007.167969,38219.988281,24326.468750,41035.632812,33433.734375,39834.066406,44556.152344,35819.332031,29536.072266,37928.292969,41588.882812,43548.023438,33648.722656,35028.972656,34735.621094
1740.0000,27456.900391,39516.933594,36425.375000,44039.320312,38908.753906,29570.699219,38855.746094,24895.652344,41711.898438,33971.878906,40409.484375,45124.902344,36369.121094,30067.757812,38586.871094,42165.828125,44164.375000,34188.296875,35567.722656,35302.410156
1770.0000,27996.710938,40068.195312,37007.468750,44585.550781,39466.546875,30132.042969,39487.421875,25462.753906,42383.167969,34508.703125,40982.570312,45691.601562,36917.371094,30598.248047,39240.972656,42740.257812,44777.027344,34726.589844,36105.164062,35867.019531
1800.0000,28535.085938,40617.679688,37586.828125,45130.570312,40022.441406,30691.265625,40115.089844,26027.810547,43049.519531,35044.257812,41553.394531,46256.312500,37464.132812,31127.597656,39890.664062,43312.253906,45386.070312,35263.640625,36641.347656,36429.492188
1830.0000,29072.066406,41165.437500,38163.507812,45674.433594,40576.488281,31248.406250,40738.824219,26590.837891,43711.039062,35578.589844,42122.027344,46819.097656,38009.445312,31655.839844,40536.003906,43881.882812,45991.585938,35799.507812,37176.320312,36989.910156
1860.0000,29607.708984,41711.539062,38737.597656,46217.179688,41128.769531,31803.531250,41358.707031,27151.886719,44367.789062,36111.753906,42688.542969,47380.023438,38553.375000,32183.039062,41177.082031,44449.230469,46593.691406,36334.230469,37710.132812,37548.332031
1890.0000,30142.052734,42256.035156,39309.167969,46758.851562,41679.328125,32356.695312,41974.824219,27710.988281,45019.855469,36643.796875,43253.003906,47939.156250,39095.972656,32709.222656,41813.949219,45014.378906,47192.460938,36867.851562,38242.839844,38104.824219
1920.0000,30675.148438,42799.007812,39878.296875,47299.496094,42228.238281,32907.953125,42587.269531,28268.187500,45667.332031,37174.769531,43815.484375,48496.558594,39637.285156,33234.445312,42446.710938,45577.386719,47787.992188,37400.425781,38774.488281,38659.441406
1950.0000,31207.042969,43340.503906,40445.062500,47839.148438,42775.562500,33457.367188,43196.125000,28823.525391,46310.304688,37704.714844,44376.046875,49052.292969,40177.359375,33758.757812,43075.437500,46138.339844,48380.390625,37931.992188,39305.125000,39212.261719
1980.0000,31737.785156,43880.589844,41009.527344,48377.859375,43321.355469,34004.996094,43801.480469,29377.046875,46948.867188,38233.687500,44934.765625,49606.425781,40716.253906,34282.195312,43700.214844,46697.308594,48969.734375,38462.601562,39834.789062,39763.328125
2010.0000,32267.421875,44419.324219,41571.777344,48915.644531,43865.671875,34550.894531,44403.421875,29928.808594,47583.117188,38761.718750,45491.695312,50159.019531,41254.003906,34804.796875,44321.132812,47254.363281,49556.125000,38992.292969,40363.535156,40312.722656
2040.0000,32795.996094,44956.757812,42131.882812,49452.562500,44408.582031,35095.136719,45002.050781,30478.851562,48213.140625,39288.851562,46046.906250,50710.117188,41790.667969,35326.613281,44938.285156,47809.578125,50139.660156,39521.097656,40891.398438,40860.496094
2070.0000,33323.554688,45492.949219,42689.917969,49988.628906,44950.132812,35637.757812,45597.457031,31027.218750,48839.042969,39815.144531,46600.453125,51259.789062,42326.285156,35847.675781,45551.757812,48363.015625,50720.425781,40049.070312,41418.417969,41406.703125
2100.0000,33850.148438,46027.953125,43245.953125,50523.894531,45490.382812,36178.835938,46189.718750,31573.976562,49460.929688,40340.625000,47152.410156,51808.082031,42860.894531,36368.023438,46161.640625,48914.746094,51298.511719,40576.242188,41944.640625,41951.414062
2130.0000,34375.820312,46561.816406,43800.058594,51058.386719,46029.382812,36718.421875,46778.945312,32119.164062,50078.898438,40865.335938,47702.832031,52355.046875,43394.546875,36887.703125,46768.031250,49464.832031,51874.003906,41102.652344,42470.105469,42494.687500
2160.0000,34900.601562,47094.589844,44352.304688,51592.132812,46567.187500,37256.570312,47365.218750,32662.835938,50693.035156,41389.312500,48251.765625,52900.738281,43927.273438,37406.746094,47371.019531,50013.339844,52446.996094,41628.332031,42994.839844,43036.566406
2190.0000,35424.546875,47626.328125,44902.765625,52125.164062,47103.839844,37793.343750,47948.632812,33205.046875,51303.468750,41912.601562,48799.273438,53445.218750,44459.125000,37925.183594,47970.707031,50560.339844,53017.574219,42153.316406,43518.890625,43577.121094
2220.0000,35947.691406,48157.070312,45451.507812,52657.503906,47639.402344,38328.796875,48529.277344,33745.851562,51910.285156,42435.226562,49345.417969,53988.511719,44990.125000,38443.054688,48567.187500,51105.875000,53585.828125,42677.652344,44042.289062,44116.398438
2250.0000,36470.082031,48686.859375,45998.585938,53189.187500,48173.902344,38862.968750,49107.234375,34285.285156,52513.589844,42957.222656,49890.246094,54530.671875,45520.320312,38960.382812,49160.542969,51650.015625,54151.824219,43201.351562,44565.050781,44654.437500
2280.0000,36991.750000,49215.753906,46544.085938,53720.238281,48707.394531,39395.933594,49682.609375,34823.414062,53113.480469,43478.621094,50433.804688,55071.753906,46049.750000,39477.210938,49750.878906,52192.820312,54715.656250,43724.457031,45087.230469,45191.312500
2310.0000,37512.734375,49743.781250,47088.042969,54250.687500,49239.925781,39927.734375,50255.484375,35360.285156,53710.066406,43999.464844,50976.152344,55611.796875,46578.429688,39993.558594,50338.281250,52734.328125,55277.410156,44246.988281,45608.855469,45727.066406
2340.0000,38033.066406,50270.988281,47630.535156,54780.542969,49771.531250,40458.414062,50825.921875,35895.937500,54303.445312,44519.773438,51517.328125,56150.835938,47106.414062,40509.460938,50922.847656,53274.609375,55837.140625,44768.984375,46129.937500,46261.722656
2370.0000,38552.789062,50797.414062,48171.617188,55309.851562,50302.261719,40988.027344,51394.035156,36430.433594,54893.718750,45039.574219,52057.394531,56688.917969,47633.718750,41024.945312,51504.667969,53813.710938,56394.941406,45290.476562,46650.511719,46795.371094
2400.0000,39071.937500,51323.097656,48711.359375,55838.621094,50832.144531,41516.632812,51959.886719,36963.816406,55480.976562,45558.906250,52596.382812,57226.062500,48160.394531,41540.035156,52083.824219,54351.679688,56950.886719,45811.480469,47170.617188,47328.023438
2430.0000,39590.523438,51848.062500,49249.800781,56366.863281,51361.222656,42044.253906,52523.570312,37496.136719,56065.320312,46077.773438,53134.332031,57762.339844,48686.441406,42054.742188,52660.417969,54888.566406,57505.039062,46332.011719,47690.250000,47859.718750
2460.0000,40108.601562,52372.363281,49787.003906,56894.625000,51889.535156,42570.953125,53085.167969,38027.425781,56646.855469,46596.226562,53671.296875,58297.757812,49211.914062,42569.113281,53234.527344,55424.425781,58057.476562,46852.113281,48209.468750,48390.523438
2490.0000,40626.191406,52896.019531,50323.015625,57421.910156,52417.121094,43096.761719,53644.738281,38557.738281,57225.664062,47114.273438,54207.316406,58832.363281,49736.820312,43083.160156,53806.238281,55959.281250,58608.253906,47371.796875,48728.273438,48920.472656
2520.0000,41143.324219,53419.066406,50857.894531,57948.718750,52944.000000,43621.738281,54202.371094,39087.121094,57801.847656,47631.937500,54742.414062,59366.187500,50261.203125,43596.898438,54375.628906,56493.179688,59157.453125,47891.085938,49246.691406,49449.593750
2550.0000,41660.015625,53941.535156,51391.691406,58475.109375,53470.203125,44145.910156,54758.136719,39615.605469,58375.492188,48149.246094,55276.652344,59899.257812,50785.062500,44110.359375,54942.796875,57026.187500,59705.125000,48410.003906,49764.742188,49977.925781
2580.0000,42176.300781,54463.449219,51924.441406,59001.070312,53995.777344,44669.312500,55312.101562,40143.238281,58946.691406,48666.218750,55810.042969,60431.609375,51308.433594,44623.550781,55507.824219,57558.324219,60251.335938,48928.566406,50282.445312,50505.511719
2610.0000,42692.203125,54984.835938,52456.195312,59526.625000,54520.753906,45191.988281,55864.343750,40670.058594,59515.527344,49182.871094,56342.636719,60963.269531,51831.351562,45136.488281,56070.757812,58089.625000,60796.144531,49446.785156,50799.820312,51032.371094
2640.0000,43207.746094,55505.734375,52987.003906,60051.785156,55045.128906,45713.980469,56414.929688,41196.097656,60082.097656,49699.222656,56874.460938,61494.269531,52353.824219,45649.203125,56631.703125,58620.136719,61339.605469,49964.695312,51316.878906,51558.562500
2670.0000,43722.953125,56026.167969,53516.902344,60576.570312,55568.972656,46235.308594,56963.910156,41721.402344,60646.472656,50215.300781,57405.550781,62024.632812,52875.875000,46161.707031,57190.730469,59149.894531,61881.785156,50482.308594,51833.656250,52084.097656
2700.0000,44237.832031,56546.152344,54045.933594,61101.000000,56092.277344,46756.019531,57511.363281,42246.003906,61208.738281,50731.097656,57935.929688,62554.378906,53397.515625,46674.011719,57747.914062,59678.917969,62422.718750,50999.617188,52350.144531,52609.003906
2730.0000,44752.421875,57065.707031,54574.136719,61625.082031,56615.093750,47276.132812,58057.359375,42769.933594,61768.972656,51246.656250,58465.636719,63083.546875,53918.777344,47186.125000,58303.312500,60207.261719,62962.468750,51516.671875,52866.371094,53133.324219
2760.0000,45266.734375,57584.871094,55101.558594,62148.832031,57137.425781,47795.687500,58601.933594,43293.226562,62327.253906,51761.980469,58994.703125,63612.144531,54439.675781,47698.074219,58857.003906,60734.933594,63501.085938,52033.468750,53382.355469,53657.085938
2790.0000,45780.777344,58103.644531,55628.222656,62672.261719,57659.292969,48314.710938,59145.156250,43815.914062,62883.664062,52277.074219,59523.140625,64140.214844,54960.218750,48209.867188,59409.042969,61261.976562,64038.613281,52550.015625,53898.101562,54180.308594
2820.0000,46294.582031,58622.066406,56154.171875,63195.375000,58180.738281,48833.242188,59687.089844,44338.019531,63438.273438,52791.976562,60050.976562,64667.761719,55480.433594,48721.511719,59959.515625,61788.433594,64575.105469,53066.339844,54413.628906,54703.019531
2850.0000,46808.160156,59140.152344,56679.429688,63718.195312,58701.773438,49351.281250,60227.773438,44859.582031,63991.148438,53306.671875,60578.261719,65194.812500,56000.335938,49233.015625,60508.472656,62314.304688,65110.605469,53582.453125,54928.941406,55225.246094
2880.0000,47321.519531,59657.921875,57204.042969,64240.726562,59222.406250,49868.871094,60767.269531,45380.617188,64542.351562,53821.199219,61104.992188,65721.382812,56519.929688,49744.406250,61055.957031,62839.628906,65645.140625,54098.351562,55444.050781,55747.007812
2910.0000,47834.671875,60175.375000,57728.031250,64762.988281,59742.675781,50386.035156,61305.617188,45901.164062,65091.957031,54335.546875,61631.199219,66247.492188,57039.226562,50255.671875,61602.050781,63364.425781,66178.773438,54614.054688,55958.988281,56268.320312
2940.0000,48347.648438,60692.546875,58251.437500,65284.976562,60262.585938,50902.796875,61842.882812,46421.246094,65640.031250,54849.738281,62156.902344,66773.179688,57558.265625,50766.843750,62146.812500,63888.730469,66711.531250,55129.585938,56473.742188,56789.226562
2970.0000,48860.457031,61209.441406,58774.273438,65806.718750,60782.160156,51419.171875,62379.089844,46940.871094,66186.640625,55363.781250,62682.132812,67298.429688,58077.027344,51277.914062,62690.281250,64412.558594,67243.445312,55644.937500,56988.320312,57309.726562
3000.0000,49373.093750,61726.089844,59296.570312,66328.210938,61301.406250,51935.191406,62914.300781,47460.078125,66731.820312,55877.687500,63206.902344,67823.273438,58595.550781,51788.898438,63232.515625,64935.925781,67774.570312,56160.121094,57502.750000,57829.847656
